id	t	x	y	zlat
1	1	-0.560686	1	-1.199732
1	2	-0.596525	1	-1.150942
1	3	-0.911769	1	-1.560335
1	4	-0.312160	1	-1.494514
2	1	-0.883806	0	0.406010
2	2	0.439858	0	1.935039
2	3	0.275070	0	0.886870
2	4	0.761692	0	0.767504
3	1	-0.219567	1	-0.348307
3	2	0.907683	1	-1.524590
3	3	0.152903	1	-0.800986
3	4	0.515906	1	-0.038269
4	1	0.394680	1	-0.533425
4	2	0.983390	1	-1.140018
4	3	0.881797	1	-0.945834
4	4	0.770850	1	-0.723983
5	1	0.792173	0	0.613393
5	2	0.786080	0	0.548903
5	3	-0.634557	0	1.665320
5	4	-0.054925	0	0.782794
6	1	0.948496	0	1.373758
6	2	-0.448579	1	-0.355046
6	3	0.391123	0	1.540260
6	4	0.830293	0	1.163896
7	1	0.908695	1	-0.445628
7	2	-0.240051	1	-0.101667
7	3	0.422968	1	-0.010373
7	4	-0.085658	1	0.040851
8	1	0.514857	0	1.547883
8	2	0.659834	0	0.453667
8	3	0.357600	1	0.040269
8	4	-0.328402	0	1.068714
9	1	0.078269	0	0.464319
9	2	0.181113	0	0.724554
9	3	-0.447361	0	0.718998
9	4	-0.353926	1	0.133790
10	1	0.967410	0	0.759110
10	2	-0.569968	0	1.815159
10	3	-0.037883	0	1.798260
10	4	0.325011	0	0.777531
11	1	-0.267831	1	0.032729
11	2	-0.051791	1	-0.372937
11	3	0.741003	1	-0.361411
11	4	0.284807	1	0.011534
12	1	-0.661187	0	1.345114
12	2	0.192951	0	1.672905
12	3	-0.421295	0	1.268205
12	4	-0.693776	0	0.493250
13	1	-0.970163	0	0.662453
13	2	-0.080797	0	1.293083
13	3	-0.381229	0	0.973149
13	4	-0.237994	0	0.816900
14	1	0.053612	1	0.252699
14	2	0.967811	1	-0.463620
14	3	-0.438002	1	-0.119398
14	4	-0.323405	1	0.186172
15	1	0.369674	1	0.232184
15	2	0.756793	0	1.623693
15	3	0.247415	1	0.166989
15	4	0.237086	0	0.845036
16	1	-0.885365	1	-0.506837
16	2	0.163785	1	-0.709191
16	3	-0.396988	0	0.465490
16	4	0.503740	0	0.797458
17	1	-0.045858	0	0.537854
17	2	-0.636814	1	-0.694885
17	3	-0.208343	1	-0.663595
17	4	0.070709	1	-0.003985
18	1	-0.390789	0	0.713697
18	2	-0.138819	1	-0.744019
18	3	0.061832	1	-0.155590
18	4	0.212223	1	-0.152675
19	1	-0.063509	1	-0.690249
19	2	-0.124016	1	-0.515255
19	3	0.268096	1	-1.486701
19	4	0.121388	1	-1.346016
20	1	-0.327559	1	-2.112142
20	2	0.895610	1	-1.872361
20	3	0.507325	1	-1.891710
20	4	0.281652	1	-1.370999
21	1	-0.435214	1	-0.824747
21	2	0.774843	1	-1.751812
21	3	-0.848770	1	-0.761027
21	4	0.501277	1	-1.004574
22	1	-0.233760	1	-0.996056
22	2	0.849817	1	-1.724095
22	3	-0.045285	1	-0.473733
22	4	0.724295	1	-0.425350
23	1	0.877891	1	-0.144673
23	2	-0.539397	0	0.907960
23	3	-0.533913	1	-0.821871
23	4	-0.163924	0	1.267731
24	1	0.985904	1	0.320724
24	2	0.347847	1	0.056600
24	3	-0.546559	1	-0.880573
24	4	0.737538	0	0.897937
25	1	0.570591	0	0.544050
25	2	-0.044024	0	1.425699
25	3	0.118446	0	0.681232
25	4	-0.819918	0	0.674325
26	1	-0.219591	0	0.662267
26	2	0.037042	0	0.848350
26	3	0.088528	0	0.554906
26	4	0.312560	1	-0.495959
27	1	0.852338	1	-0.857257
27	2	0.688518	1	-0.837674
27	3	0.362023	1	-0.449135
27	4	0.422929	1	-2.118054
28	1	-0.038728	1	-0.768352
28	2	0.416405	1	-0.072891
28	3	0.409861	1	-0.143312
28	4	-0.950199	1	-0.674585
29	1	0.342132	1	-0.375439
29	2	0.477492	1	-1.576271
29	3	-0.036417	1	-1.020007
29	4	-0.295845	1	-0.003945
30	1	0.442292	1	-0.224914
30	2	0.694104	1	0.309479
30	3	0.202737	1	0.086193
30	4	-0.828743	1	-0.733035
31	1	0.742415	1	0.136992
31	2	0.036814	0	0.936068
31	3	-0.632072	1	-0.246377
31	4	0.084547	0	1.518431
32	1	0.166917	1	-1.203673
32	2	0.308051	1	-0.241327
32	3	-0.184263	1	-2.778632
32	4	0.358581	1	-0.750496
33	1	0.599973	0	1.966907
33	2	-0.684915	1	0.033651
33	3	0.592927	0	0.526442
33	4	-0.850297	0	0.645805
34	1	0.970435	0	0.945130
34	2	0.881592	0	1.038575
34	3	0.388830	1	0.040048
34	4	0.888594	1	0.449153
35	1	-0.859903	1	-0.730039
35	2	-0.745700	1	-0.101865
35	3	0.692541	1	-0.763236
35	4	0.740070	1	0.116651
36	1	-0.046210	1	-1.354664
36	2	-0.142401	1	-1.710167
36	3	0.566432	1	-1.725665
36	4	-0.657380	1	-1.446690
37	1	0.238537	1	-0.439633
37	2	0.780235	1	-0.303288
37	3	-0.848690	1	-0.034191
37	4	0.378634	1	-1.024836
38	1	0.750830	0	0.539575
38	2	-0.116348	0	2.605970
38	3	0.422916	0	1.091332
38	4	-0.362006	0	0.620983
39	1	-0.815375	1	-0.599111
39	2	-0.558756	1	-0.315726
39	3	-0.569615	1	-0.580473
39	4	-0.341954	1	-0.835011
40	1	0.076737	1	0.179359
40	2	-0.778674	1	-0.914361
40	3	0.174739	1	-0.169338
40	4	-0.950115	1	-0.181011
41	1	-0.097375	0	1.040943
41	2	0.453463	1	0.370868
41	3	0.766904	0	0.463155
41	4	0.389887	1	0.042077
42	1	-0.823864	1	0.032298
42	2	-0.781982	0	0.255482
42	3	0.520672	1	-1.294028
42	4	0.268144	0	1.533334
43	1	-0.478301	1	-0.927474
43	2	0.073783	1	0.017955
43	3	0.939241	1	-1.717371
43	4	-0.448778	1	-0.933050
44	1	-0.106893	0	0.596690
44	2	0.869996	1	0.040376
44	3	0.452202	1	-0.258615
44	4	0.069243	1	-0.305665
45	1	0.979668	1	-0.605333
45	2	0.738630	1	-0.873087
45	3	-0.970053	1	-1.482325
45	4	0.821152	1	-0.482026
46	1	-0.373265	1	-0.926506
46	2	-0.605613	1	-0.459567
46	3	-0.426274	1	-1.012528
46	4	-0.035878	1	-0.970295
47	1	0.899608	1	-0.116600
47	2	0.256677	1	-1.806485
47	3	0.604696	1	-0.845729
47	4	-0.688385	1	-0.576098
48	1	0.023684	1	0.251858
48	2	0.205446	1	-0.559967
48	3	0.091093	1	-0.525533
48	4	0.330057	1	-0.108192
49	1	0.489113	1	-0.283666
49	2	0.885623	1	0.464731
49	3	0.220935	1	-0.670684
49	4	0.292988	0	0.491686
50	1	-0.620200	1	0.036779
50	2	0.720399	0	0.761494
50	3	0.695595	1	-0.501701
50	4	0.436596	1	-1.420279
51	1	-0.782198	0	1.322496
51	2	0.854015	1	0.378430
51	3	-0.761980	1	-0.261251
51	4	0.438736	1	0.080556
52	1	0.596943	1	0.225676
52	2	0.037848	1	-0.086638
52	3	0.476343	1	-0.167438
52	4	0.292538	1	-0.261875
53	1	0.834932	1	-1.291109
53	2	0.393190	1	-0.886878
53	3	0.883230	1	-0.787674
53	4	-0.800166	1	-2.012847
54	1	-0.012285	0	1.392361
54	2	0.674961	1	0.271648
54	3	-0.914911	0	1.245923
54	4	-0.415342	0	0.816331
55	1	-0.494430	1	-0.618451
55	2	0.785096	1	0.144928
55	3	-0.738244	1	-0.819387
55	4	-0.611199	1	-0.064153
56	1	-0.852356	0	0.307913
56	2	0.078247	0	1.156016
56	3	-0.669389	1	0.092808
56	4	-0.139547	0	0.417480
57	1	0.193038	1	-0.308642
57	2	0.817009	1	-0.528565
57	3	0.489110	0	0.911224
57	4	0.682871	1	0.264928
58	1	0.640927	1	0.240050
58	2	-0.247411	0	1.055200
58	3	-0.756570	0	1.246735
58	4	0.788572	0	1.057373
59	1	0.048175	0	0.466269
59	2	0.700635	1	-0.315707
59	3	-0.074352	1	-0.802988
59	4	-0.731814	0	1.094683
60	1	0.525942	1	-1.386443
60	2	-0.541638	1	-2.013474
60	3	-0.738503	1	-0.767910
60	4	0.285372	1	-2.631077
61	1	0.433821	1	-0.031140
