id	t	x	y	zlat
1	1	-0.560686	1	-1.199732
1	2	-0.596525	1	-1.224649
1	3	-0.911769	1	-1.510936
1	4	-0.312160	1	-1.485912
2	1	-0.883806	0	0.406010
2	2	0.439858	0	1.794113
2	3	0.275070	0	1.264523
2	4	0.761692	0	0.772228
3	1	-0.219567	0	-0.348307
3	2	0.907683	1	-1.418228
3	3	0.152903	1	-1.087754
3	4	0.515906	0	-0.069839
4	1	0.394680	1	-0.533425
4	2	0.983390	1	-1.105361
4	3	0.881797	1	-1.080253
4	4	0.770850	1	-0.765821
5	1	0.792173	0	0.613393
5	2	0.786080	0	0.590832
5	3	-0.634557	0	1.597489
5	4	-0.054925	0	1.129879
6	1	0.948496	0	1.373758
6	2	-0.448579	0	-0.091106
6	3	0.391123	0	1.051556
6	4	0.830293	0	1.202499
7	1	0.908695	1	-0.445628
7	2	-0.240051	0	-0.164014
7	3	0.422968	0	0.072833
7	4	-0.085658	0	0.244098
8	1	0.514857	0	1.547883
8	2	0.659834	0	0.659440
8	3	0.357600	1	-0.222387
8	4	-0.328402	0	0.356640
9	1	0.078269	0	0.464319
9	2	0.181113	0	0.723125
9	3	-0.447361	0	0.769237
9	4	-0.353926	0	0.151582
10	1	0.967410	0	0.759110
10	2	-0.569968	0	1.745145
10	3	-0.037883	0	2.023651
10	4	0.325011	0	1.001209
11	1	-0.267831	0	0.032729
11	2	-0.051791	1	-0.327532
11	3	0.741003	1	-0.454442
11	4	0.284807	0	-0.115044
12	1	-0.661187	0	1.345114
12	2	0.192951	0	1.714494
12	3	-0.421295	0	1.331538
12	4	-0.693776	0	0.255753
13	1	-0.970163	0	0.662453
13	2	-0.080797	0	1.263210
13	3	-0.381229	0	1.115185
13	4	-0.237994	0	0.798813
14	1	0.053612	0	0.252699
14	2	0.967811	1	-0.372322
14	3	-0.438002	0	-0.299435
14	4	-0.323405	0	0.066901
15	1	0.369674	0	0.232184
15	2	0.756793	0	1.487605
15	3	0.247415	0	0.531957
15	4	0.237086	0	0.665977
16	1	-0.885365	0	-0.506837
16	2	0.163785	1	-0.716400
16	3	-0.396988	0	0.385879
