id	t	x	y
1	1	-0.560686	1
1	2	-0.596525	1
1	3	-0.911769	1
1	4	-0.312160	1
2	1	-0.883806	3
2	2	0.439858	3
2	3	0.275070	3
2	4	0.761692	3
3	1	-0.219567	2
3	2	0.907683	1
3	3	0.152903	1
3	4	0.515906	2
4	1	0.394680	1
4	2	0.983390	1
4	3	0.881797	1
4	4	0.770850	1
5	1	0.792173	2
5	2	0.786080	2
5	3	-0.634557	3
5	4	-0.054925	3
6	1	0.948496	3
6	2	-0.448579	2
6	3	0.391123	3
6	4	0.830293	3
7	1	0.908695	1
7	2	-0.240051	2
7	3	0.422968	2
7	4	-0.085658	2
8	1	0.514857	3
8	2	0.659834	2
8	3	0.357600	2
8	4	-0.328402	3
9	1	0.078269	3
9	2	0.181113	3
9	3	-0.447361	3
9	4	-0.353926	2
10	1	0.967410	3
10	2	-0.569968	3
10	3	-0.037883	3
10	4	0.325011	3
11	1	-0.267831	2
11	2	-0.051791	2
11	3	0.741003	1
11	4	0.284807	2
12	1	-0.661187	3
12	2	0.192951	3
12	3	-0.421295	3
12	4	-0.693776	3
13	1	-0.970163	3
13	2	-0.080797	3
13	3	-0.381229	3
13	4	-0.237994	3
14	1	0.053612	2
14	2	0.967811	1
14	3	-0.438002	2
14	4	-0.323405	3
15	1	0.369674	2
15	2	0.756793	3
15	3	0.247415	2
15	4	0.237086	3
16	1	-0.885365	2
16	2	0.163785	1
16	3	-0.396988	3
16	4	0.503740	3
17	1	-0.045858	3
17	2	-0.636814	2
17	3	-0.208343	1
17	4	0.070709	2
18	1	-0.390789	3
18	2	-0.138819	1
18	3	0.061832	2
18	4	0.212223	2
19	1	-0.063509	1
19	2	-0.124016	2
19	3	0.268096	1
19	4	0.121388	1
20	1	-0.327559	1
20	2	0.895610	1
20	3	0.507325	1
20	4	0.281652	1
21	1	-0.435214	1
21	2	0.774843	1
21	3	-0.848770	2
21	4	0.501277	1
22	1	-0.233760	1
22	2	0.849817	1
22	3	-0.045285	2
22	4	0.724295	1
23	1	0.877891	2
23	2	-0.539397	3
23	3	-0.533913	1
23	4	-0.163924	3
24	1	0.985904	2
24	2	0.347847	2
24	3	-0.546559	1
24	4	0.737538	3
25	1	0.570591	3
25	2	-0.044024	3
25	3	0.118446	3
25	4	-0.819918	3
26	1	-0.219591	3
26	2	0.037042	3
26	3	0.088528	3
26	4	0.312560	1
27	1	0.852338	1
27	2	0.688518	1
27	3	0.362023	1
27	4	0.422929	1
28	1	-0.038728	1
28	2	0.416405	2
28	3	0.409861	2
28	4	-0.950199	2
29	1	0.342132	1
29	2	0.477492	1
29	3	-0.036417	1
29	4	-0.295845	2
30	1	0.442292	2
30	2	0.694104	2
30	3	0.202737	2
30	4	-0.828743	2
31	1	0.742415	2
31	2	0.036814	3
31	3	-0.632072	2
31	4	0.084547	3
32	1	0.166917	1
32	2	0.308051	2
32	3	-0.184263	1
32	4	0.358581	1
33	1	0.599973	3
33	2	-0.684915	3
33	3	0.592927	2
33	4	-0.850297	3
34	1	0.970435	3
34	2	0.881592	3
34	3	0.388830	2
34	4	0.888594	2
35	1	-0.859903	2
35	2	-0.745700	2
35	3	0.692541	1
35	4	0.740070	2
36	1	-0.046210	1
36	2	-0.142401	1
36	3	0.566432	1
36	4	-0.657380	1
37	1	0.238537	1
37	2	0.780235	1
37	3	-0.848690	3
37	4	0.378634	1
38	1	0.750830	2
38	2	-0.116348	3
38	3	0.422916	3
38	4	-0.362006	3
39	1	-0.815375	2
39	2	-0.558756	2
39	3	-0.569615	2
39	4	-0.341954	1
40	1	0.076737	2
40	2	-0.778674	1
40	3	0.174739	2
40	4	-0.950115	2
41	1	-0.097375	3
41	2	0.453463	2
41	3	0.766904	2
